,0,1,2,3,4
280,280,A1,A2,A4,C1
281,281,A1,A2,A4,C2
282,282,A1,A2,A4,C3
283,283,A1,A2,A4,C4
284,284,A1,A2,A4,TZ
285,285,A1,A2,TX,A1
286,286,A1,A2,TX,A2
287,287,A1,A2,TX,A3
288,288,A1,A2,TX,A4
289,289,A1,A2,TX,TX
290,290,A1,A2,TX,B1
291,291,A1,A2,TX,B2
292,292,A1,A2,TX,B3
293,293,A1,A2,TX,B4
294,294,A1,A2,TX,TY
295,295,A1,A2,TX,C1
296,296,A1,A2,TX,C2
297,297,A1,A2,TX,C3
298,298,A1,A2,TX,C4
299,299,A1,A2,TX,TZ
300,300,A1,A2,B1,A1
301,301,A1,A2,B1,A2
302,302,A1,A2,B1,A3
303,303,A1,A2,B1,A4
304,304,A1,A2,B1,TX
305,305,A1,A2,B1,B1
306,306,A1,A2,B1,B2
307,307,A1,A2,B1,B3
308,308,A1,A2,B1,B4
309,309,A1,A2,B1,TY
310,310,A1,A2,B1,C1
311,311,A1,A2,B1,C2
312,312,A1,A2,B1,C3
313,313,A1,A2,B1,C4
314,314,A1,A2,B1,TZ
315,315,A1,A2,B2,A1
316,316,A1,A2,B2,A2
317,317,A1,A2,B2,A3
318,318,A1,A2,B2,A4
319,319,A1,A2,B2,TX
320,320,A1,A2,B2,B1
321,321,A1,A2,B2,B2
322,322,A1,A2,B2,B3
323,323,A1,A2,B2,B4
324,324,A1,A2,B2,TY
325,325,A1,A2,B2,C1
326,326,A1,A2,B2,C2
327,327,A1,A2,B2,C3
328,328,A1,A2,B2,C4
329,329,A1,A2,B2,TZ
330,330,A1,A2,B3,A1
331,331,A1,A2,B3,A2
332,332,A1,A2,B3,A3
333,333,A1,A2,B3,A4
334,334,A1,A2,B3,TX
335,335,A1,A2,B3,B1
336,336,A1,A2,B3,B2
337,337,A1,A2,B3,B3
338,338,A1,A2,B3,B4
339,339,A1,A2,B3,TY
340,340,A1,A2,B3,C1
341,341,A1,A2,B3,C2
342,342,A1,A2,B3,C3
343,343,A1,A2,B3,C4
344,344,A1,A2,B3,TZ
345,345,A1,A2,B4,A1
346,346,A1,A2,B4,A2
347,347,A1,A2,B4,A3
348,348,A1,A2,B4,A4
349,349,A1,A2,B4,TX
350,350,A1,A2,B4,B1
351,351,A1,A2,B4,B2
352,352,A1,A2,B4,B3
353,353,A1,A2,B4,B4
354,354,A1,A2,B4,TY
355,355,A1,A2,B4,C1
356,356,A1,A2,B4,C2
357,357,A1,A2,B4,C3
358,358,A1,A2,B4,C4
359,359,A1,A2,B4,TZ
360,360,A1,A2,TY,A1
361,361,A1,A2,TY,A2
362,362,A1,A2,TY,A3
363,363,A1,A2,TY,A4
364,364,A1,A2,TY,TX
365,365,A1,A2,TY,B1
366,366,A1,A2,TY,B2
367,367,A1,A2,TY,B3
368,368,A1,A2,TY,B4
369,369,A1,A2,TY,TY
370,370,A1,A2,TY,C1
371,371,A1,A2,TY,C2
372,372,A1,A2,TY,C3
373,373,A1,A2,TY,C4
374,374,A1,A2,TY,TZ
375,375,A1,A2,C1,A1
376,376,A1,A2,C1,A2
377,377,A1,A2,C1,A3
378,378,A1,A2,C1,A4
379,379,A1,A2,C1,TX
380,380,A1,A2,C1,B1
381,381,A1,A2,C1,B2
382,382,A1,A2,C1,B3
383,383,A1,A2,C1,B4
384,384,A1,A2,C1,TY
385,385,A1,A2,C1,C1
386,386,A1,A2,C1,C2
387,387,A1,A2,C1,C3
388,388,A1,A2,C1,C4
389,389,A1,A2,C1,TZ
390,390,A1,A2,C2,A1
391,391,A1,A2,C2,A2
392,392,A1,A2,C2,A3
393,393,A1,A2,C2,A4
394,394,A1,A2,C2,TX
395,395,A1,A2,C2,B1
396,396,A1,A2,C2,B2
397,397,A1,A2,C2,B3
398,398,A1,A2,C2,B4
399,399,A1,A2,C2,TY
400,400,A1,A2,C2,C1
401,401,A1,A2,C2,C2
402,402,A1,A2,C2,C3
403,403,A1,A2,C2,C4
404,404,A1,A2,C2,TZ
405,405,A1,A2,C3,A1
406,406,A1,A2,C3,A2
407,407,A1,A2,C3,A3
408,408,A1,A2,C3,A4
409,409,A1,A2,C3,TX
410,410,A1,A2,C3,B1
411,411,A1,A2,C3,B2
412,412,A1,A2,C3,B3
413,413,A1,A2,C3,B4
414,414,A1,A2,C3,TY
415,415,A1,A2,C3,C1
416,416,A1,A2,C3,C2
417,417,A1,A2,C3,C3
418,418,A1,A2,C3,C4
419,419,A1,A2,C3,TZ
420,420,A1,A2,C4,A1
421,421,A1,A2,C4,A2
422,422,A1,A2,C4,A3
423,423,A1,A2,C4,A4
424,424,A1,A2,C4,TX
425,425,A1,A2,C4,B1
426,426,A1,A2,C4,B2
427,427,A1,A2,C4,B3
428,428,A1,A2,C4,B4
429,429,A1,A2,C4,TY
430,430,A1,A2,C4,C1
431,431,A1,A2,C4,C2
432,432,A1,A2,C4,C3
433,433,A1,A2,C4,C4
434,434,A1,A2,C4,TZ
435,435,A1,A2,TZ,A1
436,436,A1,A2,TZ,A2
437,437,A1,A2,TZ,A3
438,438,A1,A2,TZ,A4
439,439,A1,A2,TZ,TX
440,440,A1,A2,TZ,B1
441,441,A1,A2,TZ,B2
442,442,A1,A2,TZ,B3
443,443,A1,A2,TZ,B4
444,444,A1,A2,TZ,TY
445,445,A1,A2,TZ,C1
446,446,A1,A2,TZ,C2
447,447,A1,A2,TZ,C3
448,448,A1,A2,TZ,C4
449,449,A1,A2,TZ,TZ
450,450,A1,A3,A1,A1
451,451,A1,A3,A1,A2
452,452,A1,A3,A1,A3
453,453,A1,A3,A1,A4
454,454,A1,A3,A1,TX
455,455,A1,A3,A1,B1
456,456,A1,A3,A1,B2
457,457,A1,A3,A1,B3
458,458,A1,A3,A1,B4
459,459,A1,A3,A1,TY
460,460,A1,A3,A1,C1
461,461,A1,A3,A1,C2
462,462,A1,A3,A1,C3
463,463,A1,A3,A1,C4
464,464,A1,A3,A1,TZ
465,465,A1,A3,A2,A1
466,466,A1,A3,A2,A2
467,467,A1,A3,A2,A3
468,468,A1,A3,A2,A4
469,469,A1,A3,A2,TX
470,470,A1,A3,A2,B1
471,471,A1,A3,A2,B2
472,472,A1,A3,A2,B3
473,473,A1,A3,A2,B4
474,474,A1,A3,A2,TY
475,475,A1,A3,A2,C1
476,476,A1,A3,A2,C2
477,477,A1,A3,A2,C3
478,478,A1,A3,A2,C4
479,479,A1,A3,A2,TZ
480,480,A1,A3,A3,A1
481,481,A1,A3,A3,A2
482,482,A1,A3,A3,A3
483,483,A1,A3,A3,A4
484,484,A1,A3,A3,TX
485,485,A1,A3,A3,B1
486,486,A1,A3,A3,B2
487,487,A1,A3,A3,B3
488,488,A1,A3,A3,B4
489,489,A1,A3,A3,TY
490,490,A1,A3,A3,C1
491,491,A1,A3,A3,C2
492,492,A1,A3,A3,C3
493,493,A1,A3,A3,C4
494,494,A1,A3,A3,TZ
495,495,A1,A3,A4,A1
496,496,A1,A3,A4,A2
497,497,A1,A3,A4,A3
498,498,A1,A3,A4,A4
499,499,A1,A3,A4,TX
500,500,A1,A3,A4,B1
501,501,A1,A3,A4,B2
502,502,A1,A3,A4,B3
503,503,A1,A3,A4,B4
504,504,A1,A3,A4,TY
505,505,A1,A3,A4,C1
506,506,A1,A3,A4,C2
507,507,A1,A3,A4,C3
508,508,A1,A3,A4,C4
509,509,A1,A3,A4,TZ
510,510,A1,A3,TX,A1
511,511,A1,A3,TX,A2
512,512,A1,A3,TX,A3
513,513,A1,A3,TX,A4
514,514,A1,A3,TX,TX
515,515,A1,A3,TX,B1
516,516,A1,A3,TX,B2
517,517,A1,A3,TX,B3
518,518,A1,A3,TX,B4
519,519,A1,A3,TX,TY
520,520,A1,A3,TX,C1
521,521,A1,A3,TX,C2
522,522,A1,A3,TX,C3
523,523,A1,A3,TX,C4
524,524,A1,A3,TX,TZ
525,525,A1,A3,B1,A1
526,526,A1,A3,B1,A2
527,527,A1,A3,B1,A3
528,528,A1,A3,B1,A4
529,529,A1,A3,B1,TX
530,530,A1,A3,B1,B1
531,531,A1,A3,B1,B2
532,532,A1,A3,B1,B3
533,533,A1,A3,B1,B4
534,534,A1,A3,B1,TY
535,535,A1,A3,B1,C1
536,536,A1,A3,B1,C2
537,537,A1,A3,B1,C3
538,538,A1,A3,B1,C4
539,539,A1,A3,B1,TZ
540,540,A1,A3,B2,A1
541,541,A1,A3,B2,A2
542,542,A1,A3,B2,A3
543,543,A1,A3,B2,A4
544,544,A1,A3,B2,TX
545,545,A1,A3,B2,B1
546,546,A1,A3,B2,B2
547,547,A1,A3,B2,B3
548,548,A1,A3,B2,B4
549,549,A1,A3,B2,TY
550,550,A1,A3,B2,C1
551,551,A1,A3,B2,C2
552,552,A1,A3,B2,C3
